,id,team_fifa_api_id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
0,631,29,8350,2010-02-22 00:00:00,45,Balanced,Little,55,Mixed,Organised,45,Normal,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover,16848,8350,29,1. FC Kaiserslautern,KAI
1,632,29,8350,2011-02-22 00:00:00,48,Balanced,Little,42,Mixed,Organised,49,Normal,68,Lots,53,Normal,Organised,38,Medium,48,Press,53,Normal,Cover,16848,8350,29,1. FC Kaiserslautern,KAI
2,633,29,8350,2012-02-22 00:00:00,38,Balanced,Little,54,Mixed,Organised,43,Normal,49,Normal,64,Normal,Organised,37,Medium,51,Press,53,Normal,Cover,16848,8350,29,1. FC Kaiserslautern,KAI
3,634,29,8350,2013-09-20 00:00:00,61,Balanced,Little,54,Mixed,Organised,43,Normal,62,Normal,56,Normal,Organised,48,Medium,50,Press,53,Normal,Cover,16848,8350,29,1. FC Kaiserslautern,KAI
4,635,29,8350,2014-09-19 00:00:00,66,Balanced,Normal,53,Mixed,Organised,54,Normal,69,Lots,51,Normal,Organised,47,Medium,47,Press,49,Normal,Cover,16848,8350,29,1. FC Kaiserslautern,KAI
5,636,29,8350,2015-09-10 00:00:00,49,Balanced,Normal,52,Mixed,Organised,49,Normal,54,Normal,64,Normal,Organised,41,Medium,51,Press,53,Normal,Cover,16848,8350,29,1. FC Kaiserslautern,KAI
6,420,31,8722,2010-02-22 00:00:00,55,Balanced,Little,65,Mixed,Organised,65,Normal,40,Normal,60,Normal,Organised,45,Medium,55,Press,70,Wide,Cover,15624,8722,31,1. FC Köln,FCK
7,421,31,8722,2011-02-22 00:00:00,58,Balanced,Little,71,Long,Organised,42,Normal,39,Normal,50,Normal,Organised,40,Medium,40,Press,56,Normal,Cover,15624,8722,31,1. FC Köln,FCK
8,422,31,8722,2012-02-22 00:00:00,53,Balanced,Little,53,Mixed,Organised,57,Normal,44,Normal,57,Normal,Organised,43,Medium,55,Press,67,Wide,Cover,15624,8722,31,1. FC Köln,FCK
9,423,31,8722,2013-09-20 00:00:00,60,Balanced,Little,56,Mixed,Organised,57,Normal,44,Normal,57,Normal,Organised,43,Medium,55,Press,67,Wide,Cover,15624,8722,31,1. FC Köln,FCK
10,424,31,8722,2014-09-19 00:00:00,59,Balanced,Normal,57,Mixed,Organised,53,Normal,47,Normal,59,Normal,Organised,57,Medium,46,Press,54,Normal,Cover,15624,8722,31,1. FC Köln,FCK
11,425,31,8722,2015-09-10 00:00:00,59,Balanced,Normal,65,Mixed,Organised,57,Normal,36,Normal,71,Lots,Organised,42,Medium,56,Press,51,Normal,Cover,15624,8722,31,1. FC Köln,FCK
12,915,171,8165,2010-02-22 00:00:00,45,Balanced,Little,50,Mixed,Organised,40,Normal,70,Lots,70,Lots,Organised,55,Medium,55,Press,40,Normal,Cover,16239,8165,171,1. FC Nürnberg,NUR
13,916,171,8165,2011-02-22 00:00:00,45,Balanced,Little,50,Mixed,Organised,47,Normal,45,Normal,56,Normal,Organised,55,Medium,61,Press,46,Normal,Cover,16239,8165,171,1. FC Nürnberg,NUR
14,917,171,8165,2012-02-22 00:00:00,44,Balanced,Little,49,Mixed,Organised,51,Normal,49,Normal,48,Normal,Organised,30,Deep,40,Press,43,Normal,Cover,16239,8165,171,1. FC Nürnberg,NUR
15,918,171,8165,2013-09-20 00:00:00,46,Balanced,Little,49,Mixed,Organised,56,Normal,54,Normal,67,Lots,Organised,39,Medium,57,Press,44,Normal,Cover,16239,8165,171,1. FC Nürnberg,NUR
16,919,171,8165,2014-09-19 00:00:00,46,Balanced,Normal,38,Mixed,Organised,58,Normal,48,Normal,55,Normal,Organised,51,Medium,50,Press,47,Normal,Cover,16239,8165,171,1. FC Nürnberg,NUR
17,920,171,8165,2015-09-10 00:00:00,46,Balanced,Normal,49,Mixed,Organised,51,Normal,52,Normal,59,Normal,Organised,30,Deep,40,Press,44,Normal,Cover,16239,8165,171,1. FC Nürnberg,NUR
18,783,169,9905,2010-02-22 00:00:00,45,Balanced,Little,40,Mixed,Organised,45,Normal,70,Lots,70,Lots,Organised,50,Medium,70,Double,50,Normal,Cover,16243,9905,169,1. FSV Mainz 05,MAI
19,784,169,9905,2011-02-22 00:00:00,65,Balanced,Little,50,Mixed,Organised,59,Normal,62,Normal,53,Normal,Organised,57,Medium,53,Press,43,Normal,Cover,16243,9905,169,1. FSV Mainz 05,MAI
