ID,Name,Value (M),Position,Overall,Potential,full_name,club,special,age,league,birth_date,height_cm,weight_kg,nationality,eur_value,eur_wage,eur_release_clause,pac,sho,pas,dri,defend,phy,international_reputation,skill_moves,weak_foot,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,rs,rw,rf,ram,rcm,rm,rdm,rcb,rb,rwb,st,lw,cf,cam,cm,lm,cdm,cb,lb,lwb,ls,lf,lam,lcm,ldm,lcb,gk,1_on_1_rush_trait,acrobatic_clearance_trait,argues_with_officials_trait,avoids_using_weaker_foot_trait,backs_into_player_trait,bicycle_kicks_trait,cautious_with_crosses_trait,chip_shot_trait,chipped_penalty_trait,comes_for_crosses_trait,corner_specialist_trait,diver_trait,dives_into_tackles_trait,diving_header_trait,driven_pass_trait,early_crosser_trait,fan's_favourite_trait,fancy_flicks_trait,finesse_shot_trait,flair_trait,flair_passes_trait,gk_flat_kick_trait,gk_long_throw_trait,gk_up_for_corners_trait,giant_throw_in_trait,inflexible_trait,injury_free_trait,injury_prone_trait,leadership_trait,long_passer_trait,long_shot_taker_trait,long_throw_in_trait,one_club_player_trait,outside_foot_shot_trait,playmaker_trait,power_free_kick_trait,power_header_trait,puncher_trait,rushes_out_of_goal_trait,saves_with_feet_trait,second_wind_trait,selfish_trait,skilled_dribbling_trait,stutter_penalty_trait,swerve_pass_trait,takes_finesse_free_kicks_trait,target_forward_trait,team_player_trait,technical_dribbler_trait,tries_to_beat_defensive_line_trait,poacher_speciality,speedster_speciality,aerial_threat_speciality,dribbler_speciality,playmaker_speciality,engine_speciality,distance_shooter_speciality,crosser_speciality,free_kick_specialist_speciality,tackling_speciality,tactician_speciality,acrobat_speciality,strength_speciality,clinical_finisher_speciality,prefers_rs,prefers_rw,prefers_rf,prefers_ram,prefers_rcm,prefers_rm,prefers_rdm,prefers_rcb,prefers_rb,prefers_rwb,prefers_st,prefers_lw,prefers_cf,prefers_cam,prefers_cm,prefers_lm,prefers_cdm,prefers_cb,prefers_lb,prefers_lwb,prefers_ls,prefers_lf,prefers_lam,prefers_lcm,prefers_ldm,prefers_lcb,prefers_gk,foot_Left,foot_Right,att_rate_High,att_rate_Low,att_rate_Medium,defend_rate_High,defend_rate_Low,defend_rate_Medium
20801,Cristiano Ronaldo,95.5,ST,94,94,C. Ronaldo dos Santos Aveiro,Real Madrid CF,2228,32,Spanish Primera División,2/5/85,185,80,Portugal,95500000,565000,195800000.0,90,93,82,90,33,80,5,5,4,85,94,88,83,88,91,81,76,77,93,89,91,89,96,63,94,95,92,80,92,63,29,95,85,85,95,22,31,23,7,11,15,14,11,92.0,91.0,91.0,89.0,82.0,89.0,62.0,53.0,61.0,66.0,92.0,91.0,91.0,89.0,82.0,89.0,62.0,53.0,61.0,66.0,92.0,91.0,89.0,82.0,62.0,53.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,0,False,False,False,0,False,False,0,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,1,0,0,0,1,0
158023,L. Messi,105.0,RW,93,93,Lionel Messi,FC Barcelona,2158,30,Spanish Primera División,6/24/87,170,72,Argentina,105000000,565000,215300000.0,89,90,86,96,26,61,5,4,4,77,95,71,88,85,97,89,90,87,95,92,87,90,95,95,85,68,73,59,88,48,22,93,90,78,96,13,28,26,6,11,15,14,8,88.0,91.0,92.0,92.0,84.0,90.0,59.0,45.0,57.0,62.0,88.0,91.0,92.0,92.0,84.0,90.0,59.0,45.0,57.0,62.0,88.0,92.0,92.0,84.0,59.0,45.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,1,False,False,False,0,False,False,0,0,1,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,0,1,0,0,0,1,0,0,1
176580,L. Suárez,97.0,ST,92,92,Luis Suárez,FC Barcelona,2291,30,Spanish Primera División,1/24/87,182,86,Uruguay,97000000,510000,198900000.0,82,90,79,87,42,81,5,4,4,77,94,77,83,88,86,86,84,64,91,88,77,86,93,60,87,69,89,80,86,78,41,92,84,85,83,30,45,38,27,25,31,33,37,88.0,87.0,88.0,87.0,80.0,85.0,65.0,58.0,64.0,68.0,88.0,87.0,88.0,87.0,80.0,85.0,65.0,58.0,64.0,68.0,88.0,88.0,87.0,80.0,65.0,58.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,1,0,0,0,0,1
188545,R. Lewandowski,92.0,ST,91,91,Robert Lewandowski,FC Bayern Munich,2146,28,German Bundesliga,8/21/88,185,79,Poland,92000000,355000,151800000.0,81,88,75,86,38,82,4,3,4,62,91,85,83,87,85,77,84,65,89,79,83,78,91,80,88,84,79,84,83,80,39,91,78,84,87,25,42,19,15,6,12,8,10,88.0,84.0,87.0,84.0,78.0,82.0,62.0,57.0,58.0,61.0,88.0,84.0,87.0,84.0,78.0,82.0,62.0,57.0,58.0,61.0,88.0,87.0,84.0,78.0,62.0,57.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,1,0,0,0,0,1
167664,G. Higuaín,77.0,ST,90,90,Gonzalo Higuaín,Juventus,1961,29,Italian Serie A,12/10/87,184,87,Argentina,77000000,275000,127100000.0,79,87,70,83,25,74,4,3,4,68,91,86,75,88,84,74,62,59,85,78,80,75,88,69,88,79,72,85,82,50,20,92,70,70,86,12,22,18,5,12,7,5,10,87.0,82.0,84.0,81.0,71.0,79.0,52.0,46.0,51.0,55.0,87.0,82.0,84.0,81.0,71.0,79.0,52.0,46.0,51.0,55.0,87.0,84.0,81.0,71.0,52.0,46.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,1,0,0,0,0,1
184941,A. Sánchez,67.5,RM,89,89,Alexis Sánchez,Arsenal,2181,28,English Premier League,12/19/88,169,62,Chile,67500000,265000,124900000.0,86,84,80,89,40,78,4,4,3,80,85,70,81,83,90,78,78,73,87,88,84,90,87,87,84,85,85,72,82,80,42,86,83,77,86,30,39,35,10,10,15,12,13,83.0,86.0,85.0,85.0,79.0,85.0,64.0,56.0,62.0,66.0,83.0,86.0,85.0,85.0,79.0,85.0,64.0,56.0,62.0,66.0,83.0,85.0,85.0,79.0,64.0,56.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0,False,False,False,1,False,False,0,0,1,1,0,0,0,1,0,0,0,0,False,False,False,False,False,False,0,0,1,1,0,0,1,0,0
153079,S. Agüero,66.5,ST,89,89,Sergio Agüero,Manchester City,2074,29,English Premier League,6/2/88,173,70,Argentina,66500000,325000,123000000.0,87,88,75,89,23,72,4,4,4,70,90,68,79,85,89,82,72,63,89,90,84,86,89,91,88,80,74,74,83,63,24,91,83,83,90,13,20,12,13,15,6,11,14,86.0,86.0,87.0,85.0,75.0,84.0,54.0,44.0,52.0,57.0,86.0,86.0,87.0,85.0,75.0,84.0,54.0,44.0,52.0,57.0,86.0,87.0,85.0,75.0,54.0,44.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,1,0,0,0,0,1
188567,P. Aubameyang,61.0,ST,88,88,Pierre-Emerick Aubameyang,Borussia Dortmund,2073,28,German Bundesliga,6/18/89,187,80,Gabon,61000000,165000,103700000.0,96,84,75,81,37,71,3,3,4,77,88,79,77,86,82,78,74,64,82,95,96,77,87,70,81,77,79,77,79,43,48,89,77,74,84,28,25,36,6,9,15,9,9,85.0,84.0,84.0,82.0,74.0,83.0,59.0,52.0,62.0,65.0,85.0,84.0,84.0,82.0,74.0,83.0,59.0,52.0,62.0,65.0,85.0,84.0,82.0,74.0,59.0,52.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,0,0,1,0,1,0
211110,P. Dybala,79.0,ST,88,93,Paulo Dybala,Juventus,2063,23,Italian Serie A,11/15/93,177,73,Argentina,79000000,215000,136300000.0,86,85,81,91,24,67,3,4,3,80,85,68,83,88,92,88,84,71,93,88,84,91,84,85,82,75,83,65,88,48,24,84,84,86,84,14,20,20,5,4,4,5,8,83.0,87.0,86.0,86.0,78.0,86.0,55.0,43.0,55.0,60.0,83.0,87.0,86.0,86.0,78.0,86.0,55.0,43.0,55.0,60.0,83.0,86.0,86.0,78.0,55.0,43.0,0.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0,False,False,False,0,False,False,0,0,1,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,0,1,0,1,0,0,0,0,1
194765,A. Griezmann,75.0,LW,88,91,Antoine Griezmann,Atlético Madrid,2104,26,Spanish Primera División,3/21/91,174,72,France,75000000,150000,159400000.0,86,85,78,87,30,68,4,4,3,82,88,80,79,87,87,84,75,75,86,87,86,90,90,80,81,87,76,61,82,69,35,91,76,71,86,23,22,11,14,8,14,13,14,85.0,86.0,85.0,84.0,76.0,84.0,57.0,48.0,56.0,60.0,85.0,86.0,85.0,84.0,76.0,84.0,57.0,48.0,56.0,60.0,85.0,85.0,84.0,76.0,57.0,48.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,1,False,False,False,0,False,False,0,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,1,0,1,0,0,0,0,1
41236,Z. Ibrahimović,27.0,ST,88,88,Zlatan Ibrahimović,Manchester United,2075,35,English Premier League,10/3/81,195,95,Sweden,27000000,240000,50000000.0,65,88,81,82,32,82,5,4,4,76,87,80,84,90,82,82,82,76,88,63,67,81,86,41,91,69,71,88,85,84,20,86,83,91,91,15,41,27,13,15,10,9,12,84.0,82.0,83.0,83.0,78.0,80.0,60.0,52.0,54.0,58.0,84.0,82.0,83.0,83.0,78.0,80.0,60.0,52.0,54.0,58.0,84.0,83.0,83.0,78.0,60.0,52.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,0,0,1,0,1,0
179813,E. Cavani,48.5,ST,87,87,Edinson Cavani,Paris Saint-Germain,2096,30,French Ligue 1,2/14/87,184,71,Uruguay,48500000,160000,89700000.0,77,83,72,80,42,81,4,3,3,70,83,88,78,84,80,75,74,50,80,75,78,81,90,59,85,88,92,74,78,84,48,92,77,84,83,24,45,27,12,5,13,13,10,84.0,80.0,82.0,80.0,74.0,79.0,62.0,58.0,61.0,64.0,84.0,80.0,82.0,80.0,74.0,79.0,62.0,58.0,61.0,64.0,84.0,82.0,80.0,74.0,62.0,58.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,1,0,0,1,0,0
179844,Diego Costa,46.0,ST,86,86,Diego da Silva Costa,Chelsea,1984,28,English Premier League,10/7/88,186,87,Spain,46000000,235000,85100000.0,75,83,65,76,40,88,4,3,4,65,88,83,67,81,77,62,59,52,83,74,75,58,86,52,84,64,83,91,73,93,40,88,74,76,84,28,39,34,11,13,12,8,11,83.0,77.0,80.0,76.0,71.0,76.0,60.0,57.0,58.0,60.0,83.0,77.0,80.0,76.0,71.0,76.0,60.0,57.0,58.0,60.0,83.0,80.0,76.0,71.0,60.0,57.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,1,0,0,0,0,1
188350,M. Reus,45.0,LW,86,86,Marco Reus,Borussia Dortmund,2157,28,German Bundesliga,5/31/89,180,75,Germany,45000000,120000,76500000.0,88,87,84,86,39,64,4,4,4,80,86,49,86,88,86,90,84,80,85,86,90,86,87,81,87,72,68,67,88,49,50,86,86,87,83,30,36,46,12,12,13,13,11,82.0,86.0,86.0,86.0,80.0,84.0,64.0,52.0,63.0,67.0,82.0,86.0,86.0,86.0,80.0,84.0,64.0,52.0,63.0,67.0,82.0,86.0,86.0,80.0,64.0,52.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,0,False,False,False,0,False,False,0,0,1,1,0,0,0,1,0,0,0,0,False,False,False,False,False,False,0,0,1,0,0,1,0,0,1
175943,D. Mertens,43.0,ST,86,86,Dries Mertens,Napoli,2035,30,Italian Serie A,5/6/87,169,61,Belgium,43000000,135000,73100000.0,90,82,79,89,36,55,3,4,4,77,85,35,81,70,89,81,77,74,88,93,87,94,85,92,80,60,75,42,81,59,36,85,82,78,81,30,40,40,7,10,8,10,4,78.0,86.0,85.0,85.0,78.0,84.0,60.0,47.0,60.0,65.0,78.0,86.0,85.0,85.0,78.0,84.0,60.0,47.0,60.0,65.0,78.0,85.0,85.0,78.0,60.0,47.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0,False,False,False,0,False,False,0,0,1,1,1,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,1,0,0,0,1,0
189596,T. Müller,47.5,ST,86,86,Thomas Müller,FC Bayern Munich,2078,27,German Bundesliga,9/13/89,186,75,Germany,47500000,190000,78400000.0,77,82,77,78,46,71,4,3,4,77,87,82,81,83,75,81,59,68,82,76,78,76,92,72,77,81,90,67,77,57,58,93,81,60,83,31,41,44,6,7,11,14,14,83.0,81.0,83.0,81.0,78.0,81.0,65.0,58.0,66.0,68.0,83.0,81.0,83.0,81.0,78.0,81.0,65.0,58.0,66.0,68.0,83.0,83.0,81.0,78.0,65.0,58.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,False,False,False,0,False,False,0,0,1,0,1,1,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,1,0,0,1,0,0
202126,H. Kane,59.0,ST,86,90,Harry Kane,Tottenham Hotspur,2062,23,English Premier League,7/28/93,188,86,England,59000000,165000,116500000.0,73,87,72,78,42,83,3,3,4,70,90,83,75,73,78,71,66,67,82,70,75,73,87,62,87,70,85,86,84,74,35,89,75,86,84,41,36,38,8,10,11,14,11,84.0,80.0,82.0,79.0,74.0,78.0,62.0,57.0,60.0,62.0,84.0,80.0,82.0,79.0,74.0,78.0,62.0,57.0,60.0,62.0,84.0,82.0,79.0,74.0,62.0,57.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,1,0,0,1,0,0
192505,R. Lukaku,59.0,ST,86,90,Romelu Lukaku,Manchester United,1998,24,English Premier League,5/13/93,190,94,Belgium,59000000,210000,113600000.0,83,85,70,74,34,84,3,3,4,68,89,87,71,76,78,72,66,68,75,76,89,62,85,47,88,71,80,93,75,72,27,87,73,82,84,27,30,30,8,15,14,7,10,84.0,78.0,81.0,77.0,71.0,77.0,57.0,53.0,56.0,58.0,84.0,78.0,81.0,77.0,71.0,77.0,57.0,53.0,56.0,58.0,84.0,81.0,77.0,71.0,57.0,53.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,1,0,0,0,1,0,0,1
165153,K. Benzema,44.5,ST,86,86,Karim Benzema,Real Madrid CF,1955,29,Spanish Primera División,12/19/87,187,79,France,44500000,295000,91200000.0,78,82,78,82,22,74,4,4,4,75,84,78,86,79,82,79,73,55,86,77,78,77,83,60,83,70,73,78,77,65,22,87,85,82,79,13,15,12,13,11,5,5,7,83.0,82.0,83.0,83.0,73.0,81.0,53.0,44.0,51.0,56.0,83.0,82.0,83.0,83.0,73.0,81.0,53.0,44.0,51.0,56.0,83.0,83.0,83.0,73.0,53.0,44.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,0,0,1,0,1,0
193301,A. Lacazette,48.5,ST,85,88,Alexandre Lacazette,Arsenal,2063,26,English Premier League,5/28/91,175,73,France,48500000,180000,93400000.0,86,83,71,85,38,77,3,4,3,64,87,72,79,82,85,74,71,59,84,84,87,87,85,84,81,76,80,79,76,70,40,87,74,84,86,23,42,30,11,6,9,5,6,83.0,82.0,83.0,81.0,74.0,80.0,60.0,54.0,59.0,62.0,83.0,82.0,83.0,81.0,74.0,80.0,60.0,54.0,59.0,62.0,83.0,83.0,81.0,74.0,60.0,54.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,1,0,0,0,0,1
201153,Morata,41.0,ST,84,88,Álvaro Borja Morata Martín,Chelsea,1880,24,English Premier League,10/23/92,189,85,Spain,51000000,170000,98200000.0,83,81,71,80,24,74,3,3,4,73,84,83,78,81,83,76,44,51,84,79,87,65,81,60,80,79,73,82,76,56,24,85,76,70,80,14,14,20,4,5,4,4,5,83.0,81.0,82.0,79.0,70.0,79.0,51.0,45.0,52.0,56.0,83.0,81.0,82.0,79.0,70.0,79.0,51.0,45.0,52.0,56.0,83.0,82.0,79.0,70.0,51.0,45.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,1,0,0,1,0,0
201399,M. Icardi,42.0,ST,84,89,Mauro Icardi,Inter,1866,24,Italian Serie A,2/19/93,181,75,Argentina,42000000,105000,74600000.0,78,83,61,75,26,70,3,3,4,46,89,84,73,81,74,58,45,54,77,75,80,74,83,76,81,92,70,74,70,55,22,89,64,78,82,17,21,21,13,9,5,7,9,82.0,75.0,79.0,75.0,67.0,73.0,50.0,46.0,49.0,51.0,82.0,75.0,79.0,75.0,67.0,73.0,50.0,46.0,49.0,51.0,82.0,79.0,75.0,67.0,50.0,46.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,0,0,1,0,1,0
106231,Aduriz,11.0,ST,84,84,Aritz Aduriz Zubeldia,Athletic Club de Bilbao,1993,36,Spanish Primera División,2/11/81,182,78,Spain,11000000,38000,23100000.0,70,83,65,77,46,80,3,3,3,54,85,94,73,84,79,61,54,52,82,69,70,53,85,57,83,94,64,85,80,82,23,86,73,75,87,46,44,49,14,10,9,15,9,83.0,76.0,80.0,77.0,70.0,74.0,59.0,61.0,58.0,59.0,83.0,76.0,80.0,77.0,70.0,74.0,59.0,61.0,58.0,59.0,83.0,80.0,77.0,70.0,59.0,61.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,1,0,0,0,0,1
