ID,Name,Value (M),Position,Overall,Potential,full_name,club,special,age,league,birth_date,height_cm,weight_kg,nationality,eur_value,eur_wage,eur_release_clause,pac,sho,pas,dri,defend,phy,international_reputation,skill_moves,weak_foot,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,rs,rw,rf,ram,rcm,rm,rdm,rcb,rb,rwb,st,lw,cf,cam,cm,lm,cdm,cb,lb,lwb,ls,lf,lam,lcm,ldm,lcb,gk,1_on_1_rush_trait,acrobatic_clearance_trait,argues_with_officials_trait,avoids_using_weaker_foot_trait,backs_into_player_trait,bicycle_kicks_trait,cautious_with_crosses_trait,chip_shot_trait,chipped_penalty_trait,comes_for_crosses_trait,corner_specialist_trait,diver_trait,dives_into_tackles_trait,diving_header_trait,driven_pass_trait,early_crosser_trait,fan's_favourite_trait,fancy_flicks_trait,finesse_shot_trait,flair_trait,flair_passes_trait,gk_flat_kick_trait,gk_long_throw_trait,gk_up_for_corners_trait,giant_throw_in_trait,inflexible_trait,injury_free_trait,injury_prone_trait,leadership_trait,long_passer_trait,long_shot_taker_trait,long_throw_in_trait,one_club_player_trait,outside_foot_shot_trait,playmaker_trait,power_free_kick_trait,power_header_trait,puncher_trait,rushes_out_of_goal_trait,saves_with_feet_trait,second_wind_trait,selfish_trait,skilled_dribbling_trait,stutter_penalty_trait,swerve_pass_trait,takes_finesse_free_kicks_trait,target_forward_trait,team_player_trait,technical_dribbler_trait,tries_to_beat_defensive_line_trait,poacher_speciality,speedster_speciality,aerial_threat_speciality,dribbler_speciality,playmaker_speciality,engine_speciality,distance_shooter_speciality,crosser_speciality,free_kick_specialist_speciality,tackling_speciality,tactician_speciality,acrobat_speciality,strength_speciality,clinical_finisher_speciality,prefers_rs,prefers_rw,prefers_rf,prefers_ram,prefers_rcm,prefers_rm,prefers_rdm,prefers_rcb,prefers_rb,prefers_rwb,prefers_st,prefers_lw,prefers_cf,prefers_cam,prefers_cm,prefers_lm,prefers_cdm,prefers_cb,prefers_lb,prefers_lwb,prefers_ls,prefers_lf,prefers_lam,prefers_lcm,prefers_ldm,prefers_lcb,prefers_gk,foot_Left,foot_Right,att_rate_High,att_rate_Low,att_rate_Medium,defend_rate_High,defend_rate_Low,defend_rate_Medium
176676,Marcelo,38.0,LB,87,87,Marcelo Vieira da Silva,Real Madrid CF,2214,29,Spanish Primera División,5/12/88,174,75,Brazil,38000000,250000,77900000.0,78,69,80,86,83,79,4,4,4,90,67,71,82,54,86,80,67,76,88,77,79,77,87,82,83,77,81,77,66,84,86,75,75,59,85,80,85,87,12,5,5,5,9,77.0,81.0,80.0,80.0,81.0,82.0,83.0,82.0,84.0,85.0,77.0,81.0,80.0,80.0,81.0,82.0,83.0,82.0,84.0,85.0,77.0,80.0,80.0,81.0,83.0,82.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,0,1,0,1,0,0,0,0,1
197445,D. Alaba,44.5,CM,86,88,David Alaba,FC Bayern Munich,2278,25,German Bundesliga,6/24/92,180,76,Austria,44500000,150000,76800000.0,86,73,81,80,82,74,4,3,4,82,63,75,83,68,79,78,85,80,83,86,86,79,84,77,83,82,87,69,83,69,85,77,78,80,79,81,83,83,5,7,14,15,9,77.0,80.0,79.0,80.0,81.0,81.0,82.0,80.0,83.0,84.0,77.0,80.0,79.0,80.0,81.0,81.0,82.0,80.0,83.0,84.0,77.0,79.0,80.0,81.0,82.0,80.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,1,0,0,1,1,0,False,False,False,False,False,False,0,1,0,1,0,0,0,0,1
191043,Alex Sandro,44.0,LM,86,88,Alex Sandro Lobo Silva,Juventus,2207,26,Italian Serie A,1/26/91,181,81,Brazil,44000000,175000,75900000.0,86,65,77,81,81,84,3,3,3,86,55,76,81,68,82,78,59,71,81,84,88,79,86,79,80,79,93,80,72,82,82,70,70,60,82,78,84,84,7,7,9,12,5,75.0,78.0,76.0,77.0,78.0,80.0,81.0,81.0,84.0,84.0,75.0,78.0,76.0,77.0,78.0,80.0,81.0,81.0,84.0,84.0,75.0,76.0,77.0,78.0,81.0,81.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,0,1,0,0,1,0,False,False,False,False,False,False,0,1,0,1,0,0,1,0,0
184432,Azpilicueta,37.5,LB,85,87,César Azpilicueta Tanco,Chelsea,2099,27,English Premier League,8/28/89,178,78,Spain,37500000,160000,72200000.0,79,55,75,74,86,78,3,3,3,78,46,76,80,51,69,66,58,74,79,78,79,75,86,73,68,76,88,73,60,80,85,62,68,66,78,87,88,87,13,9,10,6,5,68.0,71.0,70.0,72.0,76.0,74.0,82.0,83.0,84.0,83.0,68.0,71.0,70.0,72.0,76.0,74.0,82.0,83.0,84.0,83.0,68.0,70.0,72.0,76.0,82.0,83.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,False,False,False,0,False,False,1,0,0,0,0,0,0,0,0,1,1,0,False,False,False,False,False,False,0,0,1,0,0,1,0,0,1
189332,Jordi Alba,30.5,LB,85,85,Jordi Alba Ramos,FC Barcelona,2206,28,Spanish Primera División,3/21/89,170,68,Spain,30500000,215000,62500000.0,93,69,75,82,81,72,3,3,3,82,73,63,79,60,80,77,64,70,83,93,93,90,82,86,64,81,90,60,66,75,83,77,68,59,75,81,84,83,13,15,13,6,13,75.0,80.0,78.0,78.0,78.0,81.0,80.0,78.0,83.0,84.0,75.0,80.0,78.0,78.0,78.0,81.0,80.0,78.0,83.0,84.0,75.0,78.0,78.0,78.0,80.0,78.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,0,1,0,1,0,0,0,0,1
164169,Filipe Luís,25.0,LB,85,85,Filipe Luís Kasmirski,Atlético Madrid,2134,31,Spanish Primera División,8/9/85,182,73,Brazil,25000000,81000,51300000.0,79,62,77,77,82,79,3,3,3,84,59,68,78,56,77,74,75,77,81,75,82,74,83,60,71,63,91,74,60,81,82,71,70,65,88,85,83,86,11,15,9,9,5,72.0,75.0,74.0,75.0,77.0,78.0,81.0,80.0,83.0,83.0,72.0,75.0,74.0,75.0,77.0,78.0,81.0,80.0,83.0,83.0,72.0,74.0,75.0,77.0,81.0,80.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,0,1,0,1,0,0,0,0,1
201862,M. Rojo,21.0,LB,82,83,Marcos Rojo,Manchester United,2045,27,English Premier League,3/20/90,187,80,Argentina,21000000,130000,40400000.0,71,59,69,68,81,83,3,3,2,75,50,82,72,49,67,67,57,73,68,70,71,72,77,64,79,85,79,82,63,92,80,57,57,64,74,79,82,80,7,8,12,15,10,67.0,66.0,66.0,66.0,69.0,68.0,77.0,80.0,77.0,76.0,67.0,66.0,66.0,66.0,69.0,68.0,77.0,80.0,77.0,76.0,67.0,66.0,66.0,69.0,77.0,80.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,0,0,0,1,1,0,False,False,False,False,False,False,0,1,0,0,0,1,1,0,0
163631,L. Baines,12.5,LB,82,82,Leighton Baines,Everton,2211,32,English Premier League,12/11/84,170,74,England,12500000,115000,23800000.0,70,71,80,79,80,71,3,3,3,86,63,74,81,63,78,81,82,74,80,73,68,74,83,84,84,71,81,64,75,74,80,73,76,90,81,81,81,79,8,15,10,13,12,74.0,76.0,76.0,76.0,78.0,77.0,79.0,77.0,80.0,80.0,74.0,76.0,76.0,76.0,78.0,77.0,79.0,77.0,80.0,80.0,74.0,76.0,76.0,78.0,79.0,77.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,0,0,0,0,1,1,False,False,False,False,False,False,0,1,0,1,0,0,0,0,1
169595,D. Rose,21.0,LWB,82,83,Danny Rose,Tottenham Hotspur,2117,26,English Premier League,7/2/90,174,76,England,21000000,99000,41500000.0,81,63,73,78,81,78,3,3,3,81,57,62,76,64,79,64,57,66,76,80,81,73,82,76,72,75,81,74,69,87,81,68,73,57,73,82,84,85,10,11,8,13,13,70.0,75.0,73.0,74.0,75.0,76.0,79.0,79.0,81.0,81.0,70.0,75.0,73.0,74.0,75.0,76.0,79.0,79.0,81.0,81.0,70.0,73.0,74.0,75.0,79.0,79.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,0,0,0,0,1,1,False,False,False,False,False,False,0,1,0,0,0,1,1,0,0
193352,R. Rodríguez,18.5,CB,81,84,Ricardo Rodríguez,Milan,2179,24,Italian Serie A,8/25/92,180,77,Switzerland,18500000,83000,32800000.0,74,67,80,76,77,72,3,3,3,87,59,64,78,67,76,82,84,79,78,73,74,73,82,72,78,73,75,70,72,75,81,68,74,83,81,76,79,81,14,13,14,14,11,71.0,75.0,73.0,75.0,77.0,76.0,78.0,76.0,79.0,79.0,71.0,75.0,73.0,75.0,77.0,76.0,78.0,76.0,79.0,79.0,71.0,73.0,75.0,77.0,78.0,76.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,0,0,0,1,1,0,False,False,False,False,False,False,0,1,0,0,0,1,0,0,1
209889,R. Guerreiro,24.0,CM,81,86,Raphaël Guerreiro,Borussia Dortmund,2171,23,German Bundesliga,12/22/93,170,71,Portugal,24000000,58000,42600000.0,77,75,81,84,74,63,3,4,3,85,72,61,83,76,83,84,82,74,83,83,72,88,81,86,81,64,77,54,83,69,85,76,79,44,75,74,70,77,12,6,8,11,8,75.0,81.0,79.0,80.0,80.0,80.0,77.0,72.0,78.0,80.0,75.0,81.0,79.0,80.0,80.0,80.0,77.0,72.0,78.0,80.0,75.0,79.0,80.0,80.0,77.0,72.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,1,1,0,0,1,1,False,False,False,False,False,False,0,1,0,0,0,1,0,0,1
200724,Nacho Fernández,17.5,RB,81,83,José Ignacio Fernández Iglesias,Real Madrid CF,1838,27,Spanish Primera División,1/18/90,179,75,Spain,17500000,145000,37200000.0,76,37,65,63,81,78,2,2,4,70,32,80,77,38,55,55,37,61,74,72,80,60,72,68,54,81,79,78,28,74,81,37,53,45,73,81,82,83,12,7,10,15,7,57.0,60.0,58.0,60.0,65.0,64.0,76.0,80.0,78.0,77.0,57.0,60.0,58.0,60.0,65.0,64.0,76.0,80.0,78.0,77.0,57.0,58.0,60.0,65.0,76.0,80.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,1,0,0,0,0,0,0,0,0,1,1,0,False,False,False,False,False,False,0,0,1,0,0,1,0,0,1
169705,R. Bertrand,12.0,LB,80,80,Ryan Bertrand,Southampton,2027,27,English Premier League,8/5/89,179,85,England,12000000,86000,22800000.0,79,53,71,77,79,75,2,2,3,82,50,69,76,43,77,74,66,70,79,79,79,76,76,68,59,71,83,73,54,73,77,63,51,52,76,79,82,82,11,13,15,10,15,66.0,71.0,68.0,69.0,71.0,73.0,76.0,77.0,79.0,79.0,66.0,71.0,68.0,69.0,71.0,73.0,76.0,77.0,79.0,79.0,66.0,68.0,69.0,71.0,76.0,77.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,0,1,0,1,0,0,0,0,1
190815,D. Blind,13.5,CB,80,81,Daley Blind,Manchester United,2078,27,English Premier League,3/9/90,180,72,Netherlands,13500000,120000,26000000.0,60,56,79,76,80,76,3,2,4,80,46,71,81,62,73,84,62,80,80,63,58,72,84,75,68,71,86,74,62,70,82,68,76,56,83,80,83,76,12,9,10,14,10,67.0,71.0,70.0,73.0,78.0,74.0,80.0,78.0,78.0,79.0,67.0,71.0,70.0,73.0,78.0,74.0,80.0,78.0,78.0,79.0,67.0,70.0,73.0,78.0,80.0,78.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,0,0,0,1,1,0,False,False,False,False,False,False,0,1,0,0,0,1,0,0,1
177604,Nacho Monreal,9.5,CB,80,80,Ignacio Monreal Eraso,Arsenal,2021,31,English Premier League,2/26/86,179,72,Spain,10000000,110000,18500000.0,76,53,72,75,80,74,2,2,3,78,39,67,77,56,73,74,59,61,77,75,76,73,81,74,71,75,83,69,61,75,83,64,66,61,76,80,83,81,7,5,9,3,5,65.0,70.0,69.0,70.0,72.0,72.0,77.0,78.0,80.0,80.0,65.0,70.0,69.0,70.0,72.0,72.0,77.0,78.0,80.0,80.0,65.0,69.0,70.0,72.0,77.0,78.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,0,0,0,1,1,0,False,False,False,False,False,False,0,1,0,1,0,0,0,0,1
207993,S. Kolašinac,15.5,LM,80,83,Sead Kolašinac,Arsenal,1888,24,English Premier League,6/20/93,183,85,Bosnia Herzegovina,15500000,91000,29800000.0,78,53,61,64,78,89,2,2,2,74,42,73,68,31,63,43,25,49,69,73,82,52,78,55,82,76,85,91,52,91,71,62,56,44,70,78,83,84,15,9,16,7,9,66.0,65.0,65.0,63.0,65.0,67.0,73.0,79.0,77.0,76.0,66.0,65.0,65.0,63.0,65.0,67.0,73.0,79.0,77.0,76.0,66.0,65.0,63.0,65.0,73.0,79.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,0,1,0,0,1,0,False,False,False,False,False,False,0,1,0,0,0,1,1,0,0
210035,Grimaldo,17.5,LB,80,87,Alejandro Grimaldo García,SL Benfica,2092,21,Portuguese Primeira Liga,9/20/95,171,69,Spain,17500000,12000,38500000.0,86,60,72,82,75,72,3,3,2,78,50,64,75,58,82,77,80,68,81,87,86,82,82,81,73,64,88,67,67,65,78,71,60,51,77,74,76,77,7,13,10,7,13,70.0,75.0,74.0,73.0,74.0,77.0,75.0,74.0,79.0,80.0,70.0,75.0,74.0,73.0,74.0,77.0,75.0,74.0,79.0,80.0,70.0,74.0,73.0,74.0,75.0,74.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,0,False,False,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,0,1,0,1,0,0,0,0,1
